2023-05-14 00:05:47,713 [INFO] label-studio init captcha-recognition -b --internal-host localhost -l config/label-config.xml
2023-05-14 00:06:06,546 [INFO] Exceuted `python setup.py run-studio` again to start Label-Studio
2023-05-14 00:06:17,183 [INFO] label-studio start captcha-recognition -b --internal-host localhost
2023-05-14 00:25:47,841 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/tasks
2023-05-14 00:25:47,842 [INFO] File Filter Regex: .*json
2023-05-14 00:38:31,709 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/CAPTCHA_images/images
2023-05-14 00:38:31,709 [INFO] File Filter Regex: .*json
2023-05-14 00:43:57,629 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/CAPTCHA_images/images
2023-05-14 00:43:57,629 [INFO] File Filter Regex: .*json
2023-05-14 09:31:05,476 [INFO] Dataset Abolute path: /home/rony/Projects/captcha-model-train/data/
2023-05-14 09:31:05,476 [INFO] File Filter Regex: .*json
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 108, image => data/asnfr.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 109, image => data/asruw.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 110, image => data/asudn.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 111, image => data/atblh.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 112, image => data/athaq.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 113, image => data/atjbc.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 114, image => data/audft.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 115, image => data/aufac.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 116, image => data/auhuy.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 117, image => data/aurhx.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 118, image => data/auryt.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 119, image => data/avjaa.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 120, image => data/avjjh.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 121, image => data/avnnl.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 122, image => data/avunf.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 123, image => data/awaus.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 124, image => data/awnsl.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 125, image => data/awsca.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 126, image => data/awuqi.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 127, image => data/axaaa.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 128, image => data/axhpn.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 129, image => data/axusx.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 130, image => data/axvky.png
2023-05-15 03:43:32,725 [ERROR] KeyError: id => 131, image => data/axwnk.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 132, image => data/axwur.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 133, image => data/aytur.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 134, image => data/aywxh.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 135, image => data/baiwd.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 136, image => data/bawlp.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 137, image => data/bbhdb.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 138, image => data/bciho.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 139, image => data/bcppf.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 140, image => data/bduat.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 141, image => data/bhaaj.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 142, image => data/bhwxo.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 143, image => data/biajk.png
2023-05-15 03:43:32,726 [ERROR] KeyError: id => 144, image => data/bjbqk.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 145, image => data/bjhib.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 146, image => data/bjvac.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 147, image => data/bkrmj.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 148, image => data/bkuct.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 149, image => data/blljm.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 150, image => data/bmkoo.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 151, image => data/bpayq.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 152, image => data/brbbs.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 153, image => data/brtiy.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 154, image => data/bsaqd.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 155, image => data/bslma.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 156, image => data/btlka.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 157, image => data/btpcw.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 158, image => data/bucri.png
2023-05-15 03:43:32,727 [ERROR] KeyError: id => 159, image => data/bukab.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 160, image => data/bukma.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 161, image => data/bumua.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 162, image => data/bvadc.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 163, image => data/bvdpx.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 164, image => data/bvjlv.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 165, image => data/bvoat.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 166, image => data/bvxxd.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 167, image => data/bwauk.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 168, image => data/bwmnv.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 169, image => data/bwybf.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 170, image => data/bxvpa.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 171, image => data/canlu.png
2023-05-15 03:43:32,728 [ERROR] KeyError: id => 172, image => data/caplx.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 173, image => data/caryr.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 174, image => data/catia.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 175, image => data/cavfb.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 176, image => data/caxir.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 177, image => data/caydp.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 178, image => data/cbsms.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 179, image => data/cdpht.png
